Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
"Community Center of the Rockaway Peninsula, Inc.",257 Beach 17th Street,Far Rockaway,NY,11691,(718) 868-2300 x206,Music,Queens Council District #31,Queens Community Board #14,Queens
Community Film Workshop Council,525 West 125th Street,New York,NY,10027,(212) 531-3786,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Community New Horizons of New York, Inc.","341 Wadsworth Avenue, Suite B",New York,NY,10040,(212) 543-0682,Visual Arts,Manhattan Council District #10,Manhattan Community Board #12,Manhattan
"Community Works, Inc.",55 West End Avenue,New York,NY,10023,(212) 459-1854,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Community-Word Project, Inc.","11 Broadway, Suite 508",New York,NY,10004,(212) 962-3820,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Complexions - A Concept in Dance,c/o NMBC,New York,NY,10019,(212) 777-7771,Dance,,Manhattan Community Board #1,Manhattan
"Complicated, Incorporated",1072 Lorimer St. #3l,Brooklyn,NY,11222,(612) 227-8013,New Media,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Composers Collaborative, Inc.","210 Riverside Drive, Apt. 11G",New York,NY,10025,(212) 663-1967,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Composers Concordance, Inc.",1510 york ave #2b,New Yrok,NY,10075,(212) 663-8826,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Concert Artists Guild, Inc.",850 Seventh Avenue,New York,NY,10019,(212) 333-5200 x11,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Concerts in Motion, Inc.",341 W38th Street,New York,NY,10018,(212) 498-9868,Music,Manhattan Council District #3,Manhattan Community Board #7,Manhattan
Concerts in the Heights,"251 Seaman Avenue, #1F",New York,NY,10034,(212) 543-0475,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
Concrete Temple Theatre,"211 East 14th Street, Apt. 10",New York,NY,10003,(212) 598-9135,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Coney Island Generation Gap Reunion Committee, Corp",2904 Neptune Avenue,Brooklyn,NY,11224,(718) 975-0447,Film/Video/Audio,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
"Coney Island History Project, Inc.",c/o Deno's Wonder Wheel Park,Brooklyn,NY,11224,(718) 265-2100,"Multi-Discipline, Non-Perform",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
"Coney Island, USA",1208 Surf Avenue,Brooklyn,NY,11224,(718) 372-5159,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
"Conference House Association, Inc.",298 Satterlee Street,Staten Island,NY,10307,(718) 984-0415,Museum,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island
"Congress for Jewish Culture, Inc.",PO Box 1590,New York,NY,10159,(212) 505-8040,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Conrad Poppenhusen Association,P.O. Box 91,College Point,NY,11356,(718) 358-0067,"Multi-Discipl, Perf & Non-Perf",Queens Council District #19,Queens Community Board #7,Queens
Conscientious Musical Revues,"2576 Broadway, Apt. 446",New York,NY,10025,(800) 624-8474,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Construction Company Theater/Dance Associates, Inc.","10 East 18th Street, #3",New York,NY,10003,(212) 924-7882,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Contemporary Art for America, Inc.","330 West 15th Street, Suite 5D",New York,NY,10011,(212) 645-2895,Museum,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Contemporary Ballet Theatre, Inc",861 Manida St.,N.Y.,NY,10474,(718) 623-0933,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #2,Bronx
"Continuum Project, Inc.",PO Box 1892,New,NY,10008,(718) 791-9088,Theater,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
Converging Arts Media Organization,57 Stanton Street,New York,NY,10002,(212) 995-5290,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Cool Culture,"80 Hanson Place, Suite 604",Brooklyn,NY,11217,(718) 230-4186 x302,"Multi-Discipline, Non-Perform",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Coopdanza, Inc.","97-20, 57th Avenue",Corona,NY,11368,(929) 296-2862,"Multi-Discipline, Performing",Queens Council District #21,Queens Community Board #4,Manhattan
"Cooper-Hewitt, National Design Museum",2 East 91st Street,New York,NY,10128,(212) 849-8373,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
Cooperative Culture Collective,117 S. Oxford Street,Brooklyn,NY,11217,(718) 638-7624,Other,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Cora Incorporated,72 Van Dyke Street,Brooklyn,NY,11231,(732) 267-1859,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"CorbinDances, Inc.",196 West 134th Street,New York,NY,10030,(646) 734-6338,Dance,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Corona Youth Music Project, Inc.","155 West 68th Street, Apt. 1931",New York,NY,10023,(646) 330-7562,Music,Manhattan Council District #6,Manhattan Community Board #7,Queens
"Council For Living Music, Inc.","322 West 48th Street, 3rd Floor",New York,NY,10036,(212) 245-4802,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Council of Literary Magazines and Presses,"154 Christopher Street, Ste. 3C",New York,NY,10014,(212) 741-9110 x14,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Council on the Arts and Humanities for Staten Island,10 Ferry Terminal Drive,Staten Island,NY,10301,(718) 447-3329,"Multi-Discipline, Non-Perform",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Covenant Ballet Theatre of Brooklyn, Inc.",2718A East 21 Street,Brooklyn,NY,11235,(718) 891-6199,Dance,Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn
Coyote REP Theatre Company,"360 W 28th St, Apt. 4A",New York,NY,10001,(917) 584-8796,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Create in Chinatown, Inc",150 Elizabeth Street,New York,NY,10012,(212) 563-0392,,,,Manhattan
"Creative Alternatives of New York, Inc.",225 West 99th Street,New York,NY,10025,(212) 222-1969,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
"Creative Ammo, Inc.","18 East 41st Street, Suite 1806",New York,NY,10018,(212) 807-1337 x14,Theater,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
Creative Arts Team,"101 West 31st Street, 6th Floor",New York,NY,10001,(212) 652-2830,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Creative Arts Workshops for Kids,520 Eighth Avenue,New York,NY,10018,(646) 316-1657,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Creative Capital Foundation,65 Bleecker Street,New York,NY,10012,(212) 598-9900,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Creative Center, Inc.",273 Bowery,New York,NY,10002,(646) 465-5313,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Creative Outlet Dance Theatre of Brooklyn, Inc.","80 Hanson Place, Suite 303",Brooklyn,NY,11217,(718) 636-9312 x103,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Creative Time, Inc.","59 East 4th Street, #6E",New York,NY,10003,(212) 206-6674,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Cross Performance, Inc.",140 Second Avenue,New York,NY,10003,(212) 260-7426,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Brooklyn
Crown Heights Jewish Community Council,375 Kingston Avenue,Brooklyn,NY,11213,(347) 432-3777,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn
Crown Heights Youth Collective,133 Rogers Avenue,Brooklyn,NY,11225,(718) 756-7600,,Brooklyn Council District #36,Brooklyn Community Board #8,Brooklyn
Cuban Artists Fund,41 Union Square West,New York,NY,10003,(212) 812-4200,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Cubraiti, Inc.","1763 Second Avenue, Ste. 17P",New York,NY,10128,(212) 987-4363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Cultural Center for Soviet Refugees, Inc.","139 East 33rd Street, Apt. 9M",New York,NY,10016,(212) 686-0199,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Cultural Collaborative Jamaica, Inc.",P.O. Box 311155,Jamaica,NY,11432,(718) 526-3217,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens
Cultural Museum Of African Art - The Eric Edwards Collection,213 TAAFFE PLACE - SUITE 111,Brooklyn,NY,11205,(718) 399-9053,Museum,Brooklyn Council District #33,Brooklyn Community Board #3,Brooklyn
"Culture Project, Inc.","49 Bleecker Street, Ste. 602",New York,NY,10012,(212) 925-1806,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Culture Push, Inc.",241 E. 7th Street,New York,NY,10009,(917) 306-6363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Culture Shed,545 West 30th Street,New York,NY,10001,(212) 616-5822,,Manhattan Council District #3,,Manhattan
"CultureNOW, Inc.","511 West 25th Street, Ste. 707",New York,NY,10001,(212) 604-0900,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Culturehub, Inc.",65 East 4th Street Box 16,New York,NY,10003,(347) 633-2055,New Media,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Cunningham Dance Foundation, Inc.",55 Bethune Street,New York,NY,10014,(212) 255-8240 x17,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Cygnus Ensemble, Inc.","400 West 43rd Street, Apt. 11G",New York,NY,10036,(914) 665-2254,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"D.U.M.B.O. Arts Center, Inc.","111 Front Street, #212",Brooklyn,NY,11201,(718) 694-0831,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
DDJW INCORPORATED,"511 West 151st Street, Apt. C1",New York,NY,10031,(212) 694-0477,Dance,Manhattan Council District #9,Manhattan Community Board #7,Manhattan
"DG Falu Foundation, Inc.",333 East 118th Street,New York,NY,10035,(646) 705-3266,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
DIVAS for Social Justice,131-02 229th Street,Laurelton,NY,11413,(718) 413-8031,Photography,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"DOME Project, Inc.",486 Amsterdam Ave,New York,NY,10023,(212) 724-1780,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"DUMBO District Management Association, Inc.",20 Jay Street #510,Brooklyn,NY,11201,(718) 237-8700,Architecture/Design,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Da Capo Chamber Players, Inc.","215 West 90th Street, Ste. 1G",New York,NY,10024,(212) 873-1065,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Dance 2000: The Felice Lesser Dance Theater Foundation, Inc.","484 West 43rd Street,  #9T",New York,NY,10036,(212) 594-3388,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Dance Continuum, Inc.",120 W 28th St,New York,NY,10001,(212) 219-0005,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Dance Entropy, Inc.","37-24 24th Street, Apt. 301",Long Island City,NY,11101,(718) 956-3037,Dance,Queens Council District #26,Queens Community Board #2,Queens
"Dance Films Association, Inc.",252 Java Street,Brooklyn,NY,11222,(212) 727-0764,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Dance Giant Steps, Inc.","93 Montague Street, Ste. 303",Brooklyn,NY,11201,(713) 666-6395,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Dance Iquail,Po Box 559,New York,NY,10030,(646) 457-7484,Dance,Manhattan Council District #9,Manhattan Community Board #9,Manhattan
"Dance New Amsterdam, Inc.","280 Broadway, 2nd floor",New York,NY,10007,(212) 625-8369 x201,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Dance Notation Bureau, Inc.",111 John Street,New York,NY,10038,(212) 571-7011,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Dance Parade, Inc.",789 Westminster Road,Brooklyn,NY,11230,(262) 880-1270,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Dance Project Sequence, Inc.","37-18 Northern Blvd., #315",Long Island City,NY,11101,(212) 517-4177,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #5,Manhattan
"Dance Ring, Inc.",131 East 10 Street,New York,NY,10003,(212) 679-0401,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Dance Service New York City, Inc.",218 East 18th Street,New York,NY,10003,(212) 366-6900 x201,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Dance Theatre Etcetera, Inc.","480 Van Brunt Street, Ste. 203",Brooklyn,NY,11231,(718) 643-6790 x111,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"Dance Theatre of Harlem, Inc.",466 West 152nd Street,New York,NY,10031,(212) 690-2800 x401,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
Dance to Unite,222 West 14th Street,New York City,NY,10011,(917) 744-1080,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"En Foco, Inc.",PO Box 1757,Bronx,NY,10451,(718) 931-9311,Photography,Bronx Council District #13,Bronx Community Board #11,Bronx
DanceBreak Foundation,"350 West 42nd Street, Apt 39D",New York,NY,10036,(212) 315-1516,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"DanceWorks, Inc.",75 Broad Street,New York,NY,10004,(212) 278-8111 x301,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Dancenow/NYC,P.O. Box 20029,New York,NY,10014,(917) 664-8065,Dance,Manhattan Council District #3,Manhattan Community Board #3,Manhattan
Dances For A Variable Population,560 Riverside Dr. Apt 9K,New York,NY,10027,(347) 683-2691,Dance,Manhattan Council District #9,Manhattan Community Board #9,Manhattan
Dances and Drums of Africa,"397 Bridge Street, 2nd Floor",Brooklyn,NY,11201,(718) 254-0670,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Dancewave, Inc.",45 4th Avenue,Brooklyn,NY,11217,(718) 522-4696,Dance,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn
"Dancing Classrooms, Inc.","25 West 31st Street, 4th Floor",New York,NY,10001,(212) 244-9442,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Dancing Crane, Inc.",6401 20th Avenue,Brooklyn,NY,11204,(914) 522-3888,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #11,Brooklyn
Dancing Dreams,23-91 Bell Blvd,Bayside,NY,11360,(718) 428-2600,Dance,Queens Council District #19,Queens Community Board #11,Queens
"Dancing in the Streets, Inc.",555 Bergen Avenue,Bron,NY,10455,(212) 625-3505 x21,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Daniel's Music Foundation,1641 Third Avenue,New York,NY,10128,(212) 289-8912,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Danisar Productions, Inc.","1 Union Square South, Ste. 17M",New York,NY,10003,(212) 842-2643,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Dansology, Inc.",515 East 6th Street,New York,NY,10009,(212) 375-0186,Dance,Manhattan Council District #7,Manhattan Community Board #2,Manhattan
"Danspace Project, Inc.",St. Mark's Church,New York,NY,10003,(212) 674-8112,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Death By Audio,49 South 2nd St,Brooklyn,NY,11221,(518) 321-4651,Music,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Deconstructive Theatre Project, Inc.",1421 DeKalb Avenue,Brooklyn,NY,11237,(646) 833-8276,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Manhattan
"Deep Dish T.V., Inc.",339 Lafayette Street,New York,NY,10012,(212) 473-8933,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Design Trust for Public Space, Inc.",40 Worth Street,New York,NY,10013,(212) 695-2432 x10,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Desipina Productions, Inc.","138 South Oxford Street, Apt. 1C",Brooklyn,NY,11217,(212) 564-8666,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Dessoff Choirs, Inc.",P.O. Box 1337,New York,NY,10028,(212) 790-6646,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Dharma Road Productions, Inc.","123 4th Ave, 2nd FL",New York,NY,10003,(212) 677-8621,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Dia Center for the Arts,"535 West 22nd Street, 4th Floor",New York,NY,10011,(212) 293-5505,Visual Arts,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
Dicapo Opera Theatre Corp.,"220 East 54th Street, Ste. 11J",New York,NY,10022,(212) 288-9438 x11,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Dieu Donne Paper Mill, Inc.","315 West 36th Street, Ground Floor, Suite 101",New York,NY,10018,(212) 226-0573 x304,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Diller-Quaile School of Music, Inc.",24 East 95th Street,New York,NY,10128,(212) 369-1484 x22,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Diocese of the Armenian Church of America (Eastern),630 Second Avenue,New York,NY,10016,(212) 686-0710,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Direct Arts, Inc.","647 East 11th Street, Apt. 2",New York,NY,10009,(917) 941-7926,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Discalced, Inc.",3 Lafayette Avenue,Brooklyn,NY,11217,(718) 624-8400 x216,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Discipleship Outreach Ministries, Inc",5220 4th Avenue,Brooklyn,NY,11220,(718) 360-8100,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
Divaria Productions Inc,63 Thompson Street Apt 4D,New York,NY,10012,(917) 250-2087,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Diversity in Arts and Nations for Cultural Education, Inc.",1408 Commonwealth Ave,New York City,NY,10472,(646) 408-6007,Folk Arts,Bronx Council District #18,Bronx Community Board #9,Bronx
"Djoniba Dance and Drum Centre, Inc.",P.O. Box 1074,New York,NY,10276,(212) 254-9466,Dance,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Doing Art Together, Inc.","1841 Broadway,  Apt. 704",New York,NY,10023,(212) 245-8134,Visual Arts,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Dorian Woodwind Quintet Foundation,PO Box 231417,New York,NY,10023,(646) 242-9870,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Dorsky Gallery Curatorial Programs,11-03 45 Avenue,Long Island City,NY,11101,(718) 937-6317,Visual Arts,Queens Council District #26,Queens Community Board #2,Queens
"Double Entendre Music Ensemble, Inc.",809 West 181st Street #165,New York,NY,10033,(212) 740-2909,Music,Manhattan Council District #10,Manhattan Community Board #12,Manhattan
"Dova, Inc.","260 West Broadway, Suite 4",New York,NY,10013,(212) 279-3344,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Down Town Glee Club, Inc.",P.O.Box 1494 Bowling Green Station,New York,NY,10274,(718) 257-3531,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Downtown Art Company, Inc.",59-61 East 4th Street,New York,NY,10003,(917) 587-6889,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Downtown Community Television Center,87 Lafayette Street,New York,NY,10013,(212) 966-4510 x245,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Downtown Music Productions, Inc.","310 East 12th Street, Apt. 2H",New York,NY,10003,(212) 477-1594,Music,Manhattan Council District #2,Manhattan Community Board #1,Manhattan
Drama Dept. Incorporated,"9 Desbrosses Street, 2nd floor",New York,NY,10013,(212) 633-9108,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Drama League of New York, Inc.",32 Avenue of the Americas,New York,NY,10013,(212) 244-9494 x6,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Drammeh Institute, Inc.",P.O. Box 558,Bronx,NY,10475,(718) 737-1976,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #11,Bronx Community Board #10,Bronx
"Drawing Center, Inc.",35 Wooster Street,New York,NY,10013,(212) 219-2166 x115,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Dream Yard Drama Project, Inc.",1085 Washington Avenue,Bronx,NY,10456,(718) 588-8007 x3,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #17,Bronx Community Board #4,Bronx
Drilling Company Theatrical Productions,"107 West 82nd Street, Ste. 1A",New York,NY,10024,(917) 330-4234,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Drumsongs Productions,P.O. Box 340716,Jamaica,NY,11434,(212) 366-6900 x201,"Multi-Discipl, Perf & Non-Perf",Queens Council District #28,Queens Community Board #12,Queens
"Dusan Tynek Dance Theatre Foundation, Inc.","415 Ninth Street,  Apt. 54",Brooklyn,NY,11215,(718) 249-7708,Dance,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Dwana Smallwood Performing Arts Center, Inc.",857 Lexington Avenue,Brooklyn,NY,11221,(646) 489-3517,Dance,Brooklyn Council District #41,Brooklyn Community Board #3,Brooklyn
"Dynamic Forms, Inc.","107 Suffolk Street, Ste. 310",New York,NY,10002,(212) 375-9214,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
